oznaka,meritev,stevec
130K2,1,S230430370001
575K2,1,S230430370002
DE010001,5,S230430370003
DE010002,5,S230430370003
DE01OE01,5,S230430370004
DE01OE02,5,S230430370005
DE01OE03,5,S230430370006
DE01OE04,5,S230430370007
DE01OE05,5,S230430370008
DE01OE06,5,S230430370009
DE01OE07,5,S230430370010
DE01OE08,5,S230430370011
DE01OE09,5,S230430370012
DE01OE10,5,S230430370013
DE01OE11,5,S230430370014
DE01OE12,5,S230430370015
DE01OE13,5,S230430370016
DE01OE14,5,S230430370017
DE01OE15,5,S230430370018
DE01OE16,5,S230430370019
DE01OE17,5,S230430370020
DE01OE18,5,S230430370021
DE01OE19,5,S230430370022
DE01OE20,5,S230430370023
DE01OE21,5,S230430370024
DE01OE22,5,S230430370025
DE01OE23,5,S230430370026
DE01OE24,5,S230430370027
DE01OE25,5,S230430370028
DE01OE26,5,S230430370029
DE01OE27,5,S230430370030
DE01OE28,5,S230430370031
DE01OE29,5,S230430370032
DE01OE30,5,S230430370033
DE01OE31,5,S230430370034
DE01OE32,5,S230430370035
DE01OE33,5,S230430370036
DE01OE34,5,S230430370037
DE01OE35,5,S230430370038
DE01OE36,5,S230430370039
DE01OE37,5,S230430370040
DE01OE38,5,S230430370041
DE01OE39,5,S230430370042
DE01OE40,5,S230430370043
DE01OE41,5,S230430370044
DE01OE42,5,S230430370045
DE01OE43,5,S230430370046
DE01OE44,5,S230430370047
DE01OE45,5,S230430370048
DE01OE46,5,S230430370049
DE01OE47,5,S230430370050
DE01OE48,5,S230430370051
DE01OE49,5,S230430370052
DE01OE50,5,S230430370053
DE01OE51,5,S230430370054
DE020001,5,S230430370055
DE020002,5,S230430370055
DE02OE01,5,S230430370056
DE02OE02,5,S230430370057
DE02OE03,5,S230430370058
DV010001,4,S230430370059
GV01,4,S230430370060
GV02,4,S230430370060
GV03,4,S230430370061
GV04,4,S230430370061
GV05,4,S230430370062
GV06,4,S230430370062
GV07,4,S230430370063
GV08,4,S230430370064
K01g,1,S230430370065
K01KLg,1,S230430370066
K02g,1,S230430370067
K02KLg,1,S230430370068
K03g,1,S230430370069
K03KLg,1,S230430370070
K04g,1,S230430370071
K04KLg,1,S230430370072
K05g,1,S230430370073
K05KLg,1,S230430370074
K06g,1,S230430370075
K06KLg,1,S230430370076
K07g,1,S230430370077
K07KLg,1,S230430370078
K08g,1,S230430370079
K08KLg,1,S230430370080
K09g,1,S230430370081
K10g,1,S230430370082
K11g,1,S230430370083
K12g,1,S230430370084
K13g,1,S230430370085
K14g,1,S230430370086
K15g,1,S230430370087
K16g,1,S230430370088
K17g,1,S230430370089
KK01-T,1,S230430370090
KK02-T,1,S230430370091
KK03-T,1,S230430370092
KK04-T,1,S230430370093
KK05-T,1,S230430370094
KK06-T,1,S230430370095
KK07-T,1,S230430370096
KK08-T,1,S230430370097
KK09-T,1,S230430370098
KK10-T,1,S230430370099
KK11-T,1,S230430370100
KK12-T,1,S230430370101
KK13-T,1,S230430370102
KK14-T,1,S230430370103
KK15-T,1,S230430370104
KK16-T,1,S230430370105
KK17-T,1,S230430370106
KK18-T,1,S230430370107
KK19-T,1,S230430370108
KK20-T,1,S230430370109
KK21-T,1,S230430370110
KK22-T,1,S230430370111
KK23-T,1,S230430370112
KK24-T,1,S230430370113
KK25-T,1,S230430370114
KK26-T,1,S230430370115
KK27-T,1,S230430370116
KK28-T,1,S230430370117
KK29-T,1,S230430370118
KK30-T,1,S230430370119
KK31-T,1,S230430370120
KK32-T,1,S230430370121
KK33-T,1,S230430370122
KK34-T,1,S230430370123
KK35-T,1,S230430370124
KK36-T,1,S230430370125
KK37-T,1,S230430370126
KK38-T,1,S230430370127
KK39-T,1,S230430370128
KK40-T,1,S230430370129
KT01-T,1,S230430370130
KT02-T,1,S230430370131
KT03-T,1,S230430370132
KT04-T,1,S230430370133
KT05-T,1,S230430370134
KT06-T,1,S230430370135
KT07-T,1,S230430370136
KT08-T,1,S230430370137
KT09-T,1,S230430370138
KT10-T,1,S230430370139
KT11-T,1,S230430370140
KT12-T,1,S230430370141
KT13-T,1,S230430370142
KT14-T,1,S230430370143
KT15-T,1,S230430370144
KT16-T,1,S230430370145
KT17-T,1,S230430370146
KT18-T,1,S230430370147
KT19-T,1,S230430370148
KT20-T,1,S230430370149
KT21-T,1,S230430370150
KT22-T,1,S230430370151
KT23-T,1,S230430370152
KT24-T,1,S230430370153
KT25-T,1,S230430370154
KT26-T,1,S230430370155
KT27-T,1,S230430370156
KT28-T,1,S230430370157
KT29-T,1,S230430370158
KT30-T,1,S230430370159
KT31-T,1,S230430370160
KT32-T,1,S230430370161
KT33-T,1,S230430370162
KT34-T,1,S230430370163
KT35-T,1,S230430370164
KT36-T,1,S230430370165
KT37-T,1,S230430370166
KT38-T,1,S230430370167
KT39-T,1,S230430370168
KT40-T,1,S230430370169
OTRG01,1,S230430370170
PV01,4,S230430370171
PV02,4,S230430370172
PV03,4,S230430370173
PV04,4,S230430370174
PV05,4,S230430370175
PV06,4,S230430370176
PV07,4,S230430370177
PV08,4,S230430370178
PV09,4,S230430370179
PV10,4,S230430370180
PV11,4,S230430370181
PV12,4,S230430370182
PV13,4,S230430370183
PV14,4,S230430370184
PV15,4,S230430370185
VH01,4,S230430370186
VH02,4,S230430370187
VH03,4,S230430370188
VH04,4,S230430370189
VH05,4,S230430370190
VH06,4,S230430370191
VH07,4,S230430370192
VH08,4,S230430370193
VH09,4,S230430370194
VH10,4,S230430370195
VH11,4,S230430370196
VH12,4,S230430370197
VH13,4,S230430370198
VH14,4,S230430370199
VH15,4,S230430370200
VH16,4,S230430370201
VH17,4,S230430370202
VH18,4,S230430370203
VH19,4,S230430370204
VH20,4,S230430370205
VH21,4,S230430370206
VH22,4,S230430370207
VH23,4,S230430370208
VH24,4,S230430370209
VH25,4,S230430370210
VH26,4,S230430370211
VH27,4,S230430370212
VH28,4,S230430370213
VH29,4,S230430370214
VH30,4,S230430370215
VH31,4,S230430370216
VH32,4,S230430370217
VH33,4,S230430370218
VH34,4,S230430370219
VH35,4,S230430370220
VH36,4,S230430370221
VH37,4,S230430370222
VH38,4,S230430370223
VH39,4,S230430370224
VH40,4,S230430370225
VT01,3,S230430370226
VT02,3,S230430370227
VT03,3,S230430370228
VT04,3,S230430370229
VT05,3,S230430370230
VT06,3,S230430370231
VT07,3,S230430370232
VT08,3,S230430370233
VT09,3,S230430370234
VT10,3,S230430370235
VT11,3,S230430370236
VT12,3,S230430370237
VT13,3,S230430370238
VT14,3,S230430370239
VT15,3,S230430370240
VT16,3,S230430370241
VT17,3,S230430370242
VT18,3,S230430370243
VT19,3,S230430370244
VT20,3,S230430370245
VT21,3,S230430370246
VT22,3,S230430370247
VT23,3,S230430370248
VT24,3,S230430370249
VT25,3,S230430370250
VT26,3,S230430370251
VT27,3,S230430370252
VT28,3,S230430370253
VT29,3,S230430370254
VT30,3,S230430370255
VT31,3,S230430370256
VT32,3,S230430370257
VT33,3,S230430370258
VT34,3,S230430370259
VT35,3,S230430370260
VT36,3,S230430370261
VT37,3,S230430370262
VT38,3,S230430370263
VT39,3,S230430370264
VT40,3,S230430370265
KK01-H,2,S230430370090
KK02-H,2,S230430370091
KK03-H,2,S230430370092
KK04-H,2,S230430370093
KK05-H,2,S230430370094
KK06-H,2,S230430370095
KK07-H,2,S230430370096
KK08-H,2,S230430370097
KK09-H,2,S230430370098
KK10-H,2,S230430370099
KK11-H,2,S230430370100
KK12-H,2,S230430370101
KK13-H,2,S230430370102
KK14-H,2,S230430370103
KK15-H,2,S230430370104
KK16-H,2,S230430370105
KK17-H,2,S230430370106
KK18-H,2,S230430370107
KK19-H,2,S230430370108
KK20-H,2,S230430370109
KK21-H,2,S230430370110
KK22-H,2,S230430370111
KK23-H,2,S230430370112
KK24-H,2,S230430370113
KK25-H,2,S230430370114
KK26-H,2,S230430370115
KK27-H,2,S230430370116
KK28-H,2,S230430370117
KK29-H,2,S230430370118
KK30-H,2,S230430370119
KK31-H,2,S230430370120
KK32-H,2,S230430370121
KK33-H,2,S230430370122
KK34-H,2,S230430370123
KK35-H,2,S230430370124
KK36-H,2,S230430370125
KK37-H,2,S230430370126
KK38-H,2,S230430370127
KK39-H,2,S230430370128
KK40-H,2,S230430370129
KT01-H,2,S230430370130
KT02-H,2,S230430370131
KT03-H,2,S230430370132
KT04-H,2,S230430370133
KT05-H,2,S230430370134
KT06-H,2,S230430370135
KT07-H,2,S230430370136
KT08-H,2,S230430370137
KT09-H,2,S230430370138
KT10-H,2,S230430370139
KT11-H,2,S230430370140
KT12-H,2,S230430370141
KT13-H,2,S230430370142
KT14-H,2,S230430370143
KT15-H,2,S230430370144
KT16-H,2,S230430370145
KT17-H,2,S230430370146
KT18-H,2,S230430370147
KT19-H,2,S230430370148
KT20-H,2,S230430370149
KT21-H,2,S230430370150
KT22-H,2,S230430370151
KT23-H,2,S230430370152
KT24-H,2,S230430370153
KT25-H,2,S230430370154
KT26-H,2,S230430370155
KT27-H,2,S230430370156
KT28-H,2,S230430370157
KT29-H,2,S230430370158
KT30-H,2,S230430370159
KT31-H,2,S230430370160
KT32-H,2,S230430370161
KT33-H,2,S230430370162
KT34-H,2,S230430370163
KT35-H,2,S230430370164
KT36-H,2,S230430370165
KT37-H,2,S230430370166
KT38-H,2,S230430370167
KT39-H,2,S230430370168
KT40-H,2,S230430370169
K01h,2,S230430370266
K01KLh,2,S230430370267
K02h,2,S230430370268
K02KLh,2,S230430370269
K03h,2,S230430370270
K03KLh,2,S230430370271
K04h,2,S230430370272
K04KLh,2,S230430370273
K05h,2,S230430370274
K05KLh,2,S230430370275
K06h,2,S230430370276
K06KLh,2,S230430370277
K07h,2,S230430370278
K07KLh,2,S230430370279
K08h,2,S230430370280
K08KLh,2,S230430370281
K09h,2,S230430370282
K10h,2,S230430370283
K11h,2,S230430370284
K12h,2,S230430370285
K13h,2,S230430370286
K14h,2,S230430370287
K15h,2,S230430370288
K16h,2,S230430370289
K17h,2,S230430370290
K18h,2,S230430370291
K18g,1,S230430370292
K21h,2,S230430370293
K20h,2,S230430370294
DE01OE52,5,S230430370295
DV010002,4,S230430370059
K19g,1,S230430370296
K19h,2,S230430370297
K22h,2,S230430370298
K23h,2,S230430370299
K24h,2,S230430370300
K25h,2,S230430370301
